学科名,講義名,シラバスURL
京都工芸繊維大学 工芸科学部 設計工学域,プログラミングⅡ,https://www.syllabus.kit.ac.jp/?c=detail&pk=1109&schedule_code=12214301&sk=99&dc=01&ac=05&sc=037
京都工芸繊維大学 工芸科学部 設計工学域,プログラミング言語論,https://www.syllabus.kit.ac.jp/?c=detail&pk=1117&schedule_code=12222201&sk=99&dc=01&ac=05&sc=037&page=2
京都工芸繊維大学 工芸科学部 設計工学域,情報システムプログラミング,https://www.syllabus.kit.ac.jp/?c=detail&pk=1132&schedule_code=12225303&sk=99&dc=01&ac=05&sc=037&page=2
佐賀大学 理工学部 理工学科,コンピュータプログラミング,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,データ構造とアルゴリズム,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,プログラミング概論Ⅰ,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,プログラミング概論Ⅱ,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,プログラミング概論Ⅲ,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,プログラミング演習Ⅰ,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
佐賀大学 理工学部 理工学科,プログラミング演習Ⅱ,https://eagle4.fu.is.saga-u.ac.jp/syllabus/
信州大学 工学部 電子情報システム工学科,アルゴリズムとデータ構造,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2C02200
信州大学 工学部 電子情報システム工学科,アルゴリズム基礎,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2018209
信州大学 工学部 電子情報システム工学科,プログラミング言語Ⅰ,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2004110
信州大学 工学部 電子情報システム工学科,プログラミング言語Ⅱ,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2BC1200
信州大学 工学部 電子情報システム工学科,プログラミング言語論,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2053300
信州大学 工学部 電子情報システム工学科,応用プログラミング言語,https://campus-3.shinshu-u.ac.jp/syllabusj/Display?NENDO=2022&BUKYOKU=T&CODE=T2054300
北海道大学 工学部 情報エレクトロニクス学科,アルゴリズムとデータ構造,http://syllabus01.academic.hokudai.ac.jp/Syllabi/Public/Syllabus/SylDetail.aspx?langMode=1
北海道大学 工学部 情報エレクトロニクス学科,計算機プログラミングⅠ,http://syllabus01.academic.hokudai.ac.jp/Syllabi/Public/Syllabus/SylDetail.aspx?langMode=1
北海道大学 工学部 情報エレクトロニクス学科,計算機プログラミングⅡ,http://syllabus01.academic.hokudai.ac.jp/Syllabi/Public/Syllabus/SylDetail.aspx?langMode=1
北海道大学 工学部 情報エレクトロニクス学科,計算機プログラミング演習,http://syllabus01.academic.hokudai.ac.jp/Syllabi/Public/Syllabus/SylDetail.aspx?langMode=1
北見工業大学 工学部 地球未来デザイン工学科,PythonプログラミングI,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/905054
北見工業大学 工学部 地球未来デザイン工学科,PythonプログラミングII,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/905187
北見工業大学 工学部 地球未来デザイン工学科,データ構造とアルゴリズム,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/904871
北見工業大学 工学部 地球未来デザイン工学科,プログラミング入門I,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/904811
北見工業大学 工学部 地球未来デザイン工学科,プログラミング入門Ⅱ,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/905247
北見工業大学 工学部 地球未来デザイン工学科,プログラミング入門Ⅲ,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/905244
北見工業大学 工学部 地球未来デザイン工学科,プログラミング言語,https://uguisu-v2.office.kitami-it.ac.jp/index.php/search/show/id/904879
千葉大学 理学部 数学・情報数理学科,アルゴリズム論,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011413501/ja_JP
千葉大学 理学部 数学・情報数理学科,プログラミング,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011406401/ja_JP
千葉大学 理学部 数学・情報数理学科,プログラミング言語論Ⅰ,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011313201/ja_JP
千葉大学 理学部 数学・情報数理学科,プログラミング言語論Ⅱ,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011313301/ja_JP
千葉大学 理学部 数学・情報数理学科,情報システム基礎論,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011406501/ja_JP
千葉大学 理学部 数学・情報数理学科,情報学演習,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011407601/ja_JP
千葉大学 理学部 数学・情報数理学科,計算機演習,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011407501/ja_JP
千葉大学 理学部 数学・情報数理学科,計算機科学概論,https://syllabus.gs.chiba-u.jp/2022/101106101034000/S011417201/ja_JP
名古屋大学 情報学部 コンピュータ科学科,アルゴリズム１,https://syllabus.adm.nagoya-u.ac.jp/data/2022/10_2022_X310001000191.html
名古屋大学 情報学部 コンピュータ科学科,アルゴリズム２,https://syllabus.adm.nagoya-u.ac.jp/data/2022/10_2022_X310001000211.html
名古屋大学 情報学部 コンピュータ科学科,オブジェクト指向言語及び演習,https://syllabus.adm.nagoya-u.ac.jp/data/2022/10_2022_X320001001029.html
名古屋大学 情報学部 コンピュータ科学科,プログラミング１,https://syllabus.adm.nagoya-u.ac.jp/data/2022/10_2022_X310001000061.html
名古屋大学 情報学部 コンピュータ科学科,プログラミング２,https://syllabus.adm.nagoya-u.ac.jp/data/2022/10_2022_X310001000081.html
名古屋工業大学 工学部 情報工学科,データ構造とアルゴリズム,https://syllabus.ict.nitech.ac.jp/view.php?id=69373
名古屋工業大学 工学部 情報工学科,プログラミングⅠ,https://syllabus.ict.nitech.ac.jp/view.php?id=73265
名古屋工業大学 工学部 情報工学科,プログラミングⅡ,https://syllabus.ict.nitech.ac.jp/view.php?id=69385
名古屋工業大学 工学部 情報工学科,知能プログラミング演習Ⅰ,https://syllabus.ict.nitech.ac.jp/view.php?id=69651
和歌山大学 システム工学部 システム工学科,アルゴリズム演習,https://web.wakayama-u.ac.jp/syllabus/S1/S1_S1407760_S1_ja_JP_6.html
和歌山大学 システム工学部 システム工学科,オブジェクト指向プログラミング演習,https://web.wakayama-u.ac.jp/syllabus/S1/S1_S1405140_S1_ja_JP_245.html
和歌山大学 システム工学部 システム工学科,データ構造とアルゴリズム,https://web.wakayama-u.ac.jp/syllabus/S1/S1_S1405850_S1_ja_JP_66.html
和歌山大学 システム工学部 システム工学科,基礎プログラミング演習,https://web.wakayama-u.ac.jp/syllabus/S1/S1_S1407770_S1_ja_JP_56.html
埼玉大学 工学部 情報工学科,データ構造とアルゴリズム,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=T73120&je_cd=1
埼玉大学 工学部 情報工学科,プログラミング入門,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=T73200&je_cd=1
埼玉大学 工学部 情報工学科,プログラミング演習Ⅰ,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=T73210&je_cd=1
埼玉大学 工学部 情報工学科,プログラミング演習Ⅱ,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=T73130&je_cd=1
埼玉大学 工学部 情報工学科,プログラミング演習Ⅲ,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=T73150&je_cd=1
埼玉大学 工学部 情報工学科,情報基礎,https://risyu.saitama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=TX67111&je_cd=1
大分大学 理工学部 共創理工学科,アルゴリズム論,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,ソフトウエア工学１,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,ソフトウエア開発演習１,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,基礎プログラミング,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,基礎プログラミング演習１,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,基礎プログラミング演習２,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,応用プログラミング演習１,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大分大学 理工学部 共創理工学科,応用プログラミング演習２,https://www.st.oita-u.ac.jp/students/undergraduate/doc/syl_intelligence.pdf
大阪大学 基礎工学部 情報科学科,データ構造とアルゴリズム,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_c913F69EF-0F55-1294-3B2C-7F5A1590514E_k8F1AFCA7-338D-2BEC-9985-AFF1FAAC445B
大阪大学 基礎工学部 情報科学科,プログラミングＡ,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_k041801B3-A3AA-7C1C-6FAD-C79CA52EA139
大阪大学 基礎工学部 情報科学科,プログラミングＢ,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_k269F0304-1591-C2C3-3287-3D54041807AC
大阪大学 基礎工学部 情報科学科,プログラミングＣ,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_kC6FD0125-E987-1614-E84E-E38880A12FFA
大阪大学 基礎工学部 情報科学科,プログラミングＤ,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_k921CD312-C00D-71EF-5593-6C2C9A501F0F
大阪大学 基礎工学部 情報科学科,情報科学基礎,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_k61C9B4CE-B98C-1B5C-4CEE-943CA0EDEE30
大阪大学 工学部 電子情報工学科,コンピュータサイエンスとプログラミングI,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_kD9059360-FB7E-0A58-9468-4EA0FD1C2CEE
大阪大学 工学部 電子情報工学科,コンピュータサイエンスとプログラミング　II,https://koan.osaka-u.ac.jp/campusweb/campussquare.do?_flowExecutionKey=_cDFBABAAB-BFF1-EE7B-DF22-D9D03F75474C_k1C99DE15-D5ED-7D06-007A-57AF8FA16B02
宇都宮大学 工学部 基盤工学科,計算機ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T740081.html
宇都宮大学 工学部 基盤工学科,ﾃﾞｰﾀ構造とｱﾙｺﾞﾘｽﾞﾑ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T740022.html
宇都宮大学 工学部 基盤工学科,ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T710026.html
宇都宮大学 工学部 基盤工学科,ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ演習Ⅰ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T740030.html
宇都宮大学 工学部 基盤工学科,ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ演習Ⅱ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T740031.html
宇都宮大学 工学部 基盤工学科,ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ演習Ⅲ,http://gakumu.km.utsunomiya-u.ac.jp/syllabusHtml/utsunomiya_syllabus/2022/1D/data/2022_T740032.html
富山大学 工学部 工学科,アルゴリズムとデータ構造,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_175208.html
富山大学 工学部 工学科,オブジェクト指向,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_176208.html
富山大学 工学部 工学科,プログラミング基礎,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_175201.html
富山大学 工学部 工学科,プログラミング実習Ａ,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_175203.html
富山大学 工学部 工学科,プログラミング実習Ｂ,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_176204.html
富山大学 工学部 工学科,プログラミング応用Ｂ,https://www.new-syllabus.adm.u-toyama.ac.jp/syllabus/2022/7050/7050_176200.html
山口大学 工学部 知能情報工学科,アルゴリズムとデータ構造,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1062520290&je_cd=1
山口大学 工学部 知能情報工学科,プログラミングI,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1062510060&je_cd=1
山口大学 工学部 知能情報工学科,プログラミングII,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1061520090&je_cd=1
山口大学 工学部 知能情報工学科,プログラミングIII,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1062520120&je_cd=1
山口大学 工学部 知能情報工学科,プログラミング演習I,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1062510080&je_cd=1
山口大学 工学部 知能情報工学科,プログラミング演習II,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1061520110&je_cd=1
山口大学 工学部 知能情報工学科,プログラミング演習III,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1062520130&je_cd=1
山口大学 理学部 物理・情報科学科,データ構造とアルゴリズム,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1041220054&je_cd=1
山口大学 理学部 物理・情報科学科,プログラミング演習Ⅰ,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1042200014&je_cd=1
山口大学 理学部 物理・情報科学科,プログラミング演習Ⅱ,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1041200015&je_cd=1
山口大学 理学部 物理・情報科学科,プログラミング言語Ⅰ,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1042200012&je_cd=1
山口大学 理学部 物理・情報科学科,プログラミング言語Ⅱ,https://www.kyoumu.jimu.yamaguchi-u.ac.jp/portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=1041200013&je_cd=1
山形大学 工学部 情報・エレクトロニクス学科,データ構造とアルゴリズム,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/5sylla.htm
山形大学 工学部 情報・エレクトロニクス学科,プログラミング演習Ⅰ（情報・知能）,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_52518.html
山形大学 工学部 情報・エレクトロニクス学科,プログラミング演習Ⅰ（電気・電子通信）,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_52411.html
山形大学 工学部 情報・エレクトロニクス学科,プログラミング演習Ⅱ（情報・知能）,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_52559.html
山形大学 工学部 情報・エレクトロニクス学科,プログラミング演習Ⅱ（電気・電子通信）,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_52452.html
山形大学 工学部 情報・エレクトロニクス学科,プログラミング演習Ⅲ,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_53531.html
山形大学 工学部 情報・エレクトロニクス学科,プログラミング言語,https://www.yamagata-u.ac.jp/gakumu/syllabus/2022/html/05_53522.html
山梨大学 工学部 コンピュータ理工学科,アルゴリズムとデータ構造I,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS207
山梨大学 工学部 コンピュータ理工学科,アルゴリズムとデータ構造II,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS209
山梨大学 工学部 コンピュータ理工学科,アルゴリズムとデータ構造I演習,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS208
山梨大学 工学部 コンピュータ理工学科,プログラミング基礎,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS103
山梨大学 工学部 コンピュータ理工学科,プログラミング基礎演習,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS104
山梨大学 工学部 コンピュータ理工学科,プログラミング応用,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS105
山梨大学 工学部 コンピュータ理工学科,プログラミング応用演習,https://syllabus.yamanashi.ac.jp/2022/syllabus.php?jikanno=TCS106
岐阜大学 工学部 電気電子・情報工学科,アルゴリズム論,https://alss-portal.gifu-u.ac.jp/campusweb/slbssbdr.do?value(risyunen)=2022&value(semekikn)=1&value(kougicd)=1TDB8231A0&value(crclumcd)=T-2022
岐阜大学 工学部 電気電子・情報工学科,プログラミング基礎,https://alss-portal.gifu-u.ac.jp/campusweb/slbssbdr.do?risyunen=2022&semekikn=1&kougicd=2TDX0152A1
岐阜大学 工学部 電気電子・情報工学科,プログラミング実践I ,https://alss-portal.gifu-u.ac.jp/campusweb/slbssbdr.do?risyunen=2022&semekikn=1&kougicd=2TDB8311B0
岐阜大学 工学部 電気電子・情報工学科,プログラミング応用,https://alss-portal.gifu-u.ac.jp/campusweb/slbssbdr.do?risyunen=2022&semekikn=1&kougicd=1TDXD281A1
岡山大学 工学部 情報・電気・数理データサイエンス系,UNIXプログラミング,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022092106&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,オブジェクト指向プログラミング,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022092113&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,システムプログラミング１,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022098410&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,システムプログラミング２,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022098411&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,データ構造とアルゴリズム,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022098401&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,プログラミング,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022095118&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,プログラミング演習１,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022098404&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,プログラミング演習２,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022098405&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,プログラミング言語演習Ⅱ,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022092028&je_cd=1
岡山大学 工学部 情報・電気・数理データサイエンス系,プログラミング言語演習Ｉ,https://kyomu.adm.okayama-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2022&lct_cd=2022092010&je_cd=1
岩手大学 理工学部 システム創成工学科,データ構造とアルゴリズム,https://ia2.iwate-u.ac.jp/websyllabus/kensaku/slbsCtlSyllabusKensaku.php?new=1
岩手大学 理工学部 システム創成工学科,プログラミング言語入門,https://ia2.iwate-u.ac.jp/websyllabus/kensaku/slbsCtlSyllabusKensaku.php?new=1
岩手大学 理工学部 システム創成工学科,プログラミング言語及び演習Ⅰ,https://ia2.iwate-u.ac.jp/websyllabus/kensaku/slbsCtlSyllabusKensaku.php?new=1
岩手大学 理工学部 システム創成工学科,プログラミング言語及び演習Ⅱ,https://ia2.iwate-u.ac.jp/websyllabus/kensaku/slbsCtlSyllabusKensaku.php?new=1
岩手大学 理工学部 システム創成工学科,プログラミング言語及び演習Ⅲ,https://ia2.iwate-u.ac.jp/websyllabus/kensaku/slbsCtlSyllabusKensaku.php?new=1
島根大学 総合理工学部 知能情報デザイン学科,Cプログラミング,https://gkm2019-sy.shimane-u.ac.jp/syllabusHtml/2022/04/04_TA50011_ja_JP.html
島根大学 総合理工学部 知能情報デザイン学科,アルゴリズムとデータ構造,https://gkm2019-sy.shimane-u.ac.jp/syllabusHtml/2022/04/04_T340201_ja_JP.html
